row;NCIt Code;NCIt PT;NCIt Definition;CTCAE PT;CTCAE 5.0 Definition;MedDRA Term;MedDRA Code;MedDRA TermType;MedDRA Version
20;C146237;Grade 5 Bone Marrow Hypocellular, CTCAE;Death;Grade 5 Bone marrow hypocellular;Death;Bone marrow hypocellular;10048580;LLT;20,1
21;C55273;Disseminated Intravascular Coagulation, CTCAE;A disorder characterized by systemic pathological activation of blood clotting mechanisms which results in clot formation throughout the body. There is an increase in the risk of hemorrhage as the body is depleted of platelets and coagulation factors.;Disseminated intravascular coagulation;A disorder characterized by systemic pathological activation of blood clotting mechanisms which results in clot formation throughout the body. There is an increase in the risk of hemorrhage as the body is depleted of platelets and coagulation factors.;Disseminated intravascular coagulation;10013442;LLT;20,1
22;C55255;Grade 2 Disseminated Intravascular Coagulation, CTCAE;Laboratory findings with no bleeding;Grade 2 Disseminated intravascular coagulation;Laboratory findings with no bleeding;Disseminated intravascular coagulation;10013442;LLT;20,1
23;C55260;Grade 3 Disseminated Intravascular Coagulation, CTCAE;Laboratory findings and bleeding;Grade 3 Disseminated intravascular coagulation;Laboratory findings and bleeding;Disseminated intravascular coagulation;10013442;LLT;20,1
24;C55266;Grade 4 Disseminated Intravascular Coagulation, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Disseminated intravascular coagulation;"Life-threatening consequences; urgent intervention indicated";Disseminated intravascular coagulation;10013442;LLT;20,1
25;C55270;Grade 5 Disseminated Intravascular Coagulation, CTCAE;Death;Grade 5 Disseminated intravascular coagulation;Death;Disseminated intravascular coagulation;10013442;LLT;20,1
26;C143190;Eosinophilia, CTCAE;A disorder characterized by laboratory test results that indicate an increased number of eosinophils in the blood.;Eosinophilia;A disorder characterized by laboratory test results that indicate an increased number of eosinophils in the blood.;Eosinophilia;10014950;LLT;20,1
27;C144081;Grade 1 Eosinophilia, CTCAE;>ULN and >Baseline;Grade 1 Eosinophilia;>ULN and >Baseline;Eosinophilia;10014950;LLT;20,1
28;C145256;Grade 3 Eosinophilia, CTCAE;Steroids initiated;Grade 3 Eosinophilia;Steroids initiated;Eosinophilia;10014950;LLT;20,1
29;C143481;Febrile Neutropenia, CTCAE;A disorder characterized by an ANC <1000/mm3 and a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of >=38 degrees C (100.4 degrees F) for more than one hour;Febrile neutropenia;A disorder characterized by an ANC <1000/mm3 and a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of >=38 degrees C (100.4 degrees F) for more than one hour;Febrile neutropenia;10016288;LLT;20,1
30;C59479;Grade 3 Febrile Neutropenia, CTCAE;ANC <1000/mm3 with a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of >=38 degrees C (100.4 degrees F) for more than one hour;Grade 3 Febrile neutropenia;ANC <1000/mm3 with a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of >=38 degrees C (100.4 degrees F) for more than one hour;Febrile neutropenia;10016288;LLT;20,1
31;C59715;Grade 4 Febrile Neutropenia, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Febrile neutropenia;"Life-threatening consequences; urgent intervention indicated";Febrile neutropenia;10016288;LLT;20,1
32;C59951;Grade 5 Febrile Neutropenia, CTCAE;Death;Grade 5 Febrile neutropenia;Death;Febrile neutropenia;10016288;LLT;20,1
33;C55992;Hemolysis, CTCAE;A disorder characterized by laboratory test results that indicate widespread erythrocyte cell membrane destruction.;Hemolysis;A disorder characterized by laboratory test results that indicate widespread erythrocyte cell membrane destruction.;Hemolysis;10019491;LLT;20,1
34;C55937;Grade 1 Hemolysis, CTCAE;"Laboratory evidence of hemolysis only (e.g., direct antiglobulin test; DAT; Coombs'; schistocytes; decreased haptoglobin)";Grade 1 Hemolysis;"Laboratory evidence of hemolysis only (e.g., direct antiglobulin test; DAT; Coombs'; schistocytes; decreased haptoglobin)";Hemolysis;10019491;LLT;20,1
35;C55947;Grade 2 Hemolysis, CTCAE;Evidence of hemolysis and >=2 g decrease in hemoglobin;Grade 2 Hemolysis;Evidence of hemolysis and >=2 g decrease in hemoglobin;Hemolysis;10019491;LLT;20,1
36;C55959;Grade 3 Hemolysis, CTCAE;Transfusion or medical intervention indicated (e.g., steroids);Grade 3 Hemolysis;Transfusion or medical intervention indicated (e.g., steroids);Hemolysis;10019491;LLT;20,1
37;C55969;Grade 4 Hemolysis, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Hemolysis;"Life-threatening consequences; urgent intervention indicated";Hemolysis;10019491;LLT;20,1
38;C55982;Grade 5 Hemolysis, CTCAE;Death;Grade 5 Hemolysis;Death;Hemolysis;10019491;LLT;20,1
39;C143536;Hemolytic Uremic Syndrome, CTCAE;A disorder characterized by a form of thrombotic microangiopathy with renal failure, hemolytic anemia, and severe thrombocytopenia.;Hemolytic uremic syndrome;A disorder characterized by a form of thrombotic microangiopathy with renal failure, hemolytic anemia, and severe thrombocytopenia.;Hemolytic uremic syndrome;10019515;LLT;20,1
40;C145330;Grade 3 Hemolytic Uremic Syndrome, CTCAE;Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae);Grade 3 Hemolytic uremic syndrome;Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae);Hemolytic uremic syndrome;10019515;LLT;20,1
41;C145887;Grade 4 Hemolytic Uremic Syndrome, CTCAE;Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure);Grade 4 Hemolytic uremic syndrome;Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure);Hemolytic uremic syndrome;10019515;LLT;20,1
42;C146336;Grade 5 Hemolytic Uremic Syndrome, CTCAE;Death;Grade 5 Hemolytic uremic syndrome;Death;Hemolytic uremic syndrome;10019515;LLT;20,1
43;C143647;Leukocytosis, CTCAE;A disorder characterized by laboratory test results that indicate an increased number of white blood cells in the blood.;Leukocytosis;A disorder characterized by laboratory test results that indicate an increased number of white blood cells in the blood.;Leukocytosis;10024378;LLT;20,1
44;C145438;Grade 3 Leukocytosis, CTCAE;>100,000/mm3;Grade 3 Leukocytosis;>100,000/mm3;Leukocytosis;10024378;LLT;20,1
45;C145981;Grade 4 Leukocytosis, CTCAE;"Clinical manifestations of leucostasis; urgent intervention indicated";Grade 4 Leukocytosis;"Clinical manifestations of leucostasis; urgent intervention indicated";Leukocytosis;10024378;LLT;20,1
46;C146428;Grade 5 Leukocytosis, CTCAE;Death;Grade 5 Leukocytosis;Death;Leukocytosis;10024378;LLT;20,1
47;C146773;Lymph Node Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in a lymph node.;Lymph node pain;A disorder characterized by a sensation of marked discomfort in a lymph node.;Lymph node pain;10025182;LLT;20,1
48;C56121;Grade 1 Lymph Node Pain, CTCAE;Mild pain;Grade 1 Lymph node pain;Mild pain;Lymph node pain;10025182;LLT;20,1
49;C56122;Grade 2 Lymph Node Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Lymph node pain;"Moderate pain; limiting instrumental ADL";Lymph node pain;10025182;LLT;20,1
50;C56123;Grade 3 Lymph Node Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Lymph node pain;"Severe pain; limiting self care ADL";Lymph node pain;10025182;LLT;20,1
51;C143191;Methemoglobinemia, CTCAE;A disorder characterized by laboratory test results that indicate increased methemoglobin in the blood.;Methemoglobinemia;A disorder characterized by laboratory test results that indicate increased methemoglobin in the blood.;Methemoglobinemia;10027506;LLT;20,1
52;C144838;Grade 2 Methemoglobinemia, CTCAE;>ULN;Grade 2 Methemoglobinemia;>ULN;Methemoglobinemia;10027506;LLT;20,1
53;C145460;Grade 3 Methemoglobinemia, CTCAE;Requiring urgent intervention;Grade 3 Methemoglobinemia;Requiring urgent intervention;Methemoglobinemia;10027506;LLT;20,1
54;C145996;Grade 4 Methemoglobinemia, CTCAE;Life-threatening consequences;Grade 4 Methemoglobinemia;Life-threatening consequences;Methemoglobinemia;10027506;LLT;20,1
55;C146441;Grade 5 Methemoglobinemia, CTCAE;Death;Grade 5 Methemoglobinemia;Death;Methemoglobinemia;10027506;LLT;20,1
56;C143874;Thrombotic Thrombocytopenic Purpura, CTCAE;A disorder characterized by the presence of microangiopathic hemolytic anemia, thrombocytopenic purpura, fever, renal abnormalities and neurological abnormalities such as seizures, hemiplegia, and visual disturbances. It is an acute or subacute condition.;Thrombotic thrombocytopenic purpura;A disorder characterized by the presence of microangiopathic hemolytic anemia, thrombocytopenic purpura, fever, renal abnormalities and neurological abnormalities such as seizures, hemiplegia, and visual disturbances. It is an acute or subacute condition.;Thrombotic thrombocytopenic purpura;10043648;LLT;20,1
57;C145658;Grade 3 Thrombotic Thrombocytopenic Purpura, CTCAE;Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae);Grade 3 Thrombotic thrombocytopenic purpura;Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae);Thrombotic thrombocytopenic purpura;10043648;LLT;20,1
58;C146146;Grade 4 Thrombotic Thrombocytopenic Purpura, CTCAE;Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure);Grade 4 Thrombotic thrombocytopenic purpura;Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure);Thrombotic thrombocytopenic purpura;10043648;LLT;20,1
59;C146577;Grade 5 Thrombotic Thrombocytopenic Purpura, CTCAE;Death;Grade 5 Thrombotic thrombocytopenic purpura;Death;Thrombotic thrombocytopenic purpura;10043648;LLT;20,1
60;C143165;Cardiac Disorders, CTCAE;;;;;;;
61;C143290;Aortic Valve Disease, CTCAE;A disorder characterized by a defect in aortic valve function or structure.;Aortic valve disease;A disorder characterized by a defect in aortic valve function or structure.;Aortic valve disease;10061589;LLT;20,1
62;C143984;Grade 1 Aortic Valve Disease, CTCAE;Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging;Grade 1 Aortic valve disease;Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging;Aortic valve disease;10061589;LLT;20,1
63;C144522;Grade 2 Aortic Valve Disease, CTCAE;"Asymptomatic; moderate regurgitation or stenosis by imaging";Grade 2 Aortic valve disease;"Asymptomatic; moderate regurgitation or stenosis by imaging";Aortic valve disease;10061589;LLT;20,1
64;C145140;Grade 3 Aortic Valve Disease, CTCAE;"Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention";Grade 3 Aortic valve disease;"Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention";Aortic valve disease;10061589;LLT;20,1
65;C145748;Grade 4 Aortic Valve Disease, CTCAE;"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)";Grade 4 Aortic valve disease;"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)";Aortic valve disease;10061589;LLT;20,1
66;C146218;Grade 5 Aortic Valve Disease, CTCAE;Death;Grade 5 Aortic valve disease;Death;Aortic valve disease;10061589;LLT;20,1
67;C146731;Asystole, CTCAE 5.0;A disorder characterized by a dysrhythmia without cardiac electrical activity. Typically, this is accompanied by cessation of the pumping function of the heart.;Asystole;A disorder characterized by a dysrhythmia without cardiac electrical activity. Typically, this is accompanied by cessation of the pumping function of the heart.;Asystole;10003586;LLT;20,1
68;C54777;Grade 1 Asystole, CTCAE;"Periods of asystole; non-urgent medical management indicated";Grade 1 Asystole;"Periods of asystole; non-urgent medical management indicated";Asystole;10003586;LLT;20,1
69;C54871;Grade 4 Asystole, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Asystole;"Life-threatening consequences; urgent intervention indicated";Asystole;10003586;LLT;20,1
70;C54902;Grade 5 Asystole, CTCAE;Death;Grade 5 Asystole;Death;Asystole;10003586;LLT;20,1
71;C54767;Atrial Fibrillation, CTCAE;A disorder characterized by a dysrhythmia without discernible P waves and an irregular ventricular response due to multiple reentry circuits. The rhythm disturbance originates above the ventricles.;Atrial fibrillation;A disorder characterized by a dysrhythmia without discernible P waves and an irregular ventricular response due to multiple reentry circuits. The rhythm disturbance originates above the ventricles.;Atrial fibrillation;10003658;LLT;20,1
72;C54778;Grade 1 Atrial Fibrillation, CTCAE;Asymptomatic, intervention not indicated;Grade 1 Atrial fibrillation;Asymptomatic, intervention not indicated;Atrial fibrillation;10003658;LLT;20,1
73;C54809;Grade 2 Atrial Fibrillation, CTCAE;Non-urgent medical intervention indicated;Grade 2 Atrial fibrillation;Non-urgent medical intervention indicated;Atrial fibrillation;10003658;LLT;20,1
74;C54841;Grade 3 Atrial Fibrillation, CTCAE;"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation; new onset";Grade 3 Atrial fibrillation;"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation; new onset";Atrial fibrillation;10003658;LLT;20,1
75;C54872;Grade 4 Atrial Fibrillation, CTCAE;"Life-threatening consequences; embolus requiring urgent intervention";Grade 4 Atrial fibrillation;"Life-threatening consequences; embolus requiring urgent intervention";Atrial fibrillation;10003658;LLT;20,1
76;C54903;Grade 5 Atrial Fibrillation, CTCAE;Death;Grade 5 Atrial fibrillation;Death;Atrial fibrillation;10003658;LLT;20,1
77;C54768;Atrial Flutter, CTCAE;A disorder characterized by a dysrhythmia with organized rhythmic atrial contractions with a rate of 200-300 beats per minute. The rhythm disturbance originates in the atria.;Atrial flutter;A disorder characterized by a dysrhythmia with organized rhythmic atrial contractions with a rate of 200-300 beats per minute. The rhythm disturbance originates in the atria.;Atrial flutter;10003662;LLT;20,1
78;C54779;Grade 1 Atrial Flutter, CTCAE;Asymptomatic, intervention not indicated;Grade 1 Atrial flutter;Asymptomatic, intervention not indicated;Atrial flutter;10003662;LLT;20,1
79;C54810;Grade 2 Atrial Flutter, CTCAE;Non-urgent medical intervention indicated;Grade 2 Atrial flutter;Non-urgent medical intervention indicated;Atrial flutter;10003662;LLT;20,1
80;C54842;Grade 3 Atrial Flutter, CTCAE;"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation";Grade 3 Atrial flutter;"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation";Atrial flutter;10003662;LLT;20,1
81;C54873;Grade 4 Atrial Flutter, CTCAE;"Life-threatening consequences; embolus requiring urgent intervention";Grade 4 Atrial flutter;"Life-threatening consequences; embolus requiring urgent intervention";Atrial flutter;10003662;LLT;20,1
82;C54904;Grade 5 Atrial Flutter, CTCAE;Death;Grade 5 Atrial flutter;Death;Atrial flutter;10003662;LLT;20,1
83;C143308;Atrioventricular Block Complete, CTCAE;A disorder characterized by a dysrhythmia with complete failure of atrial electrical impulse conduction through the AV node to the ventricles.;Atrioventricular block complete;A disorder characterized by a dysrhythmia with complete failure of atrial electrical impulse conduction through the AV node to the ventricles.;Atrioventricular block complete;10003673;LLT;20,1
84;C144529;Grade 2 Atrioventricular Block Complete, CTCAE;Non-urgent intervention indicated;Grade 2 Atrioventricular block complete;Non-urgent intervention indicated;Atrioventricular block complete;10003673;LLT;20,1
85;C145152;Grade 3 Atrioventricular Block Complete, CTCAE;"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset";Grade 3 Atrioventricular block complete;"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset";Atrioventricular block complete;10003673;LLT;20,1
86;C145757;Grade 4 Atrioventricular Block Complete, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Atrioventricular block complete;"Life-threatening consequences; urgent intervention indicated";Atrioventricular block complete;10003673;LLT;20,1
87;C146226;Grade 5 Atrioventricular Block Complete, CTCAE;Death;Grade 5 Atrioventricular block complete;Death;Atrioventricular block complete;10003673;LLT;20,1
88;C143309;Atrioventricular Block First Degree, CTCAE;"A disorder characterized by a dysrhythmia with a delay in the time required for the conduction of an electrical impulse through the atrioventricular (AV) node beyond 0.2 seconds; prolongation of the PR interval greater than 200 milliseconds.";Atrioventricular block first degree;"A disorder characterized by a dysrhythmia with a delay in the time required for the conduction of an electrical impulse through the atrioventricular (AV) node beyond 0.2 seconds; prolongation of the PR interval greater than 200 milliseconds.";Atrioventricular block first degree;10003674;LLT;20,1
89;C143991;Grade 1 Atrioventricular Block First Degree, CTCAE;Asymptomatic, intervention not indicated;Grade 1 Atrioventricular block first degree;Asymptomatic, intervention not indicated;Atrioventricular block first degree;10003674;LLT;20,1
90;C144530;Grade 2 Atrioventricular Block First Degree, CTCAE;Non-urgent intervention indicated;Grade 2 Atrioventricular block first degree;Non-urgent intervention indicated;Atrioventricular block first degree;10003674;LLT;20,1
91;C54771;Mobitz Type I, CTCAE;A disorder characterized by a dysrhythmia with a progressively lengthening PR interval prior to the blocking of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.;Mobitz type I;A disorder characterized by a dysrhythmia with a progressively lengthening PR interval prior to the blocking of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.;Mobitz type I;10027787;LLT;20,1
92;C54782;Grade 1 Mobitz Type I, CTCAE;Asymptomatic, intervention not indicated;Grade 1 Mobitz type I;Asymptomatic, intervention not indicated;Mobitz type I;10027787;LLT;20,1
93;C54813;Grade 2 Mobitz Type I, CTCAE;"Symptomatic; medical intervention indicated";Grade 2 Mobitz type I;"Symptomatic; medical intervention indicated";Mobitz type I;10027787;LLT;20,1
94;C54845;Grade 3 Mobitz Type I, CTCAE;Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker);Grade 3 Mobitz type I;Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker);Mobitz type I;10027787;LLT;20,1
95;C54876;Grade 4 Mobitz Type I, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Mobitz type I;"Life-threatening consequences; urgent intervention indicated";Mobitz type I;10027787;LLT;20,1
96;C54907;Grade 5 Mobitz Type I, CTCAE;Death;Grade 5 Mobitz type I;Death;Mobitz type I;10027787;LLT;20,1
97;C54772;Mobitz (Type) II Atrioventricular Block, CTCAE;A disorder characterized by a dysrhythmia with relatively constant PR interval prior to the block of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.;Mobitz (type) II atrioventricular block;A disorder characterized by a dysrhythmia with relatively constant PR interval prior to the block of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.;Mobitz (type) II atrioventricular block;10027786;LLT;20,1
98;C54783;Grade 1 Mobitz (Type) II Atrioventricular Block, CTCAE;Asymptomatic, intervention not indicated;Grade 1 Mobitz (type) II atrioventricular block;Asymptomatic, intervention not indicated;Mobitz (type) II atrioventricular block;10027786;LLT;20,1
99;C54814;Grade 2 Mobitz (Type) II Atrioventricular Block, CTCAE;"Symptomatic; medical intervention indicated";Grade 2 Mobitz (type) II atrioventricular block;"Symptomatic; medical intervention indicated";Mobitz (type) II atrioventricular block;10027786;LLT;20,1
100;C54846;Grade 3 Mobitz (Type) II Atrioventricular Block, CTCAE;"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset";Grade 3 Mobitz (type) II atrioventricular block;"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset";Mobitz (type) II atrioventricular block;10027786;LLT;20,1
101;C54877;Grade 4 Mobitz (Type) II Atrioventricular Block, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Mobitz (type) II atrioventricular block;"Life-threatening consequences; urgent intervention indicated";Mobitz (type) II atrioventricular block;10027786;LLT;20,1
102;C54908;Grade 5 Mobitz (Type) II Atrioventricular Block, CTCAE;Death;Grade 5 Mobitz (type) II atrioventricular block;Death;Mobitz (type) II atrioventricular block;10027786;LLT;20,1
103;C143351;Cardiac Arrest, CTCAE;A disorder characterized by cessation of the pumping function of the heart.;Cardiac arrest;A disorder characterized by cessation of the pumping function of the heart.;Cardiac arrest;10007515;LLT;20,1
104;C145781;Grade 4 Cardiac Arrest, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Cardiac arrest;"Life-threatening consequences; urgent intervention indicated";Cardiac arrest;10007515;LLT;20,1
105;C146249;Grade 5 Cardiac Arrest, CTCAE;Death;Grade 5 Cardiac arrest;Death;Cardiac arrest;10007515;LLT;20,1
106;C143352;Cardiac Disorders - Other, Specify, CTCAE;;Cardiac disorders - Other, specify;;Cardiac disorders - Other, specify;10007541;LLT;20,1
107;C144021;Grade 1 Cardiac Disorders - Other, Specify, CTCAE;"Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated";Grade 1 Cardiac disorders - Other, specify;"Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated";Cardiac disorders - Other, specify;10007541;LLT;20,1
108;C144567;Grade 2 Cardiac Disorders - Other, Specify, CTCAE;"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL";Grade 2 Cardiac disorders - Other, specify;"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL";Cardiac disorders - Other, specify;10007541;LLT;20,1
109;C145182;Grade 3 Cardiac Disorders - Other, Specify, CTCAE;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL";Grade 3 Cardiac disorders - Other, specify;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL";Cardiac disorders - Other, specify;10007541;LLT;20,1
110;C145782;Grade 4 Cardiac Disorders - Other, Specify, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Cardiac disorders - Other, specify;"Life-threatening consequences; urgent intervention indicated";Cardiac disorders - Other, specify;10007541;LLT;20,1
111;C146250;Grade 5 Cardiac Disorders - Other, Specify, CTCAE;Death;Grade 5 Cardiac disorders - Other, specify;Death;Cardiac disorders - Other, specify;10007541;LLT;20,1
112;C143364;Chest Pain - Cardiac, CTCAE;A disorder characterized by substernal discomfort due to insufficient myocardial oxygenation e.g., angina pectoris.;Chest pain - cardiac;A disorder characterized by substernal discomfort due to insufficient myocardial oxygenation e.g., angina pectoris.;Chest pain - cardiac;10008481;LLT;20,1
113;C144028;Grade 1 Chest Pain - Cardiac, CTCAE;Mild pain;Grade 1 Chest pain - cardiac;Mild pain;Chest pain - cardiac;10008481;LLT;20,1
114;C144575;Grade 2 Chest Pain - Cardiac, CTCAE;"Moderate pain; pain on exertion; limiting instrumental ADL; hemodynamically stable";Grade 2 Chest pain - cardiac;"Moderate pain; pain on exertion; limiting instrumental ADL; hemodynamically stable";Chest pain - cardiac;10008481;LLT;20,1
115;C145192;Grade 3 Chest Pain - Cardiac, CTCAE;"Pain at rest; limiting self care ADL; cardiac catheterization; new onset cardiac chest pain; unstable angina";Grade 3 Chest pain - cardiac;"Pain at rest; limiting self care ADL; cardiac catheterization; new onset cardiac chest pain; unstable angina";Chest pain - cardiac;10008481;LLT;20,1
