MedDRA Code,MedDRA SOC,CTCAE Term,Grade 1   ,Grade 2   ,Grade 3   ,Grade 4   ,Grade 5   ,Definition,Navigational Note,CTCAE v5.0 Change
10027506,Blood and lymphatic system disorders,Methemoglobinemia, -,>ULN,Requiring urgent intervention,Life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate increased methemoglobin in the blood.,,Addition: Term
10043648,Blood and lymphatic system disorders,Thrombotic thrombocytopenic purpura, -, -,"Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)","Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)",Death,"A disorder characterized by the presence of microangiopathic hemolytic anemia, thrombocytopenic purpura, fever, renal abnormalities and neurological abnormalities such as seizures, hemiplegia, and visual disturbances. It is an acute or subacute condition.",,Deletion: Grade 1
10061589,Cardiac disorders,Aortic valve disease,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in aortic valve function or structure.,,
10003586,Cardiac disorders,Asystole,Periods of asystole; non-urgent medical management indicated, -, -,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a dysrhythmia without cardiac electrical activity. Typically, this is accompanied by cessation of the pumping function of the heart.",,
10003658,Cardiac disorders,Atrial fibrillation,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation; new onset",Life-threatening consequences; embolus requiring urgent intervention,Death,A disorder characterized by a dysrhythmia without discernible P waves and an irregular ventricular response due to multiple reentry circuits. The rhythm disturbance originates above the ventricles.,,"Clarification: Grade 3, 4"
10003662,Cardiac disorders,Atrial flutter,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation",Life-threatening consequences; embolus requiring urgent intervention,Death,A disorder characterized by a dysrhythmia with organized rhythmic atrial contractions with a rate of 200-300 beats per minute. The rhythm disturbance originates in the atria.,,"Clarification: Grade 3, 4"
10003673,Cardiac disorders,Atrioventricular block complete, -,Non-urgent intervention indicated,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with complete failure of atrial electrical impulse conduction through the AV node to the ventricles.,,Clarification: Grade 3
10003674,Cardiac disorders,Atrioventricular block first degree,"Asymptomatic, intervention not indicated",Non-urgent intervention indicated, -, -, -,A disorder characterized by a dysrhythmia with a delay in the time required for the conduction of an electrical impulse through the atrioventricular (AV) node beyond 0.2 seconds; prolongation of the PR interval greater than 200 milliseconds.,,
10007515,Cardiac disorders,Cardiac arrest, -, -, -,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by cessation of the pumping function of the heart.,,
10007541,Cardiac disorders,"Cardiac disorders - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10008481,Cardiac disorders,Chest pain - cardiac,Mild pain,Moderate pain; pain on exertion; limiting instrumental ADL; hemodynamically stable,Pain at rest; limiting self care ADL; cardiac catheterization; new onset cardiac chest pain; unstable angina, -, -,"A disorder characterized by substernal discomfort due to insufficient myocardial oxygenation e.g., angina pectoris.",Also consider Cardiac disorders: Myocardial infarction.,"Addition: Navigational note; Clarification: Grade 2, 3, Definition"
10010276,Cardiac disorders,Conduction disorder,Mild symptoms; intervention not indicated,Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences,Death,A disorder characterized by pathological irregularities in the cardiac conduction system.,,"Clarification: Grade 2, 3, 4"
10011703,Cardiac disorders,Cyanosis, -,Present, -, -, -,A disorder characterized by a bluish discoloration of the skin and/or mucous membranes.,,Addition: Term
10019279,Cardiac disorders,Heart failure,"Asymptomatic with laboratory (e.g., BNP [B-Natriuretic Peptide ]) or cardiac imaging abnormalities",Symptoms with moderate activity or exertion,Symptoms at rest or with minimal activity or exertion; hospitalization; new onset of symptoms,"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)",Death,"A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure.","If left sided use Cardiac disorders: Left ventricular systolic dysfunction; also consider Cardiac disorders: Restrictive cardiomyopathy, Investigations: Ejection fraction decreased.","Addition: Navigational note; Clarification: Grade 2, 3"
10069501,Cardiac disorders,Left ventricular systolic dysfunction, -, -,Symptomatic due to drop in ejection fraction responsive to intervention,"Refractory or poorly controlled heart failure due to drop in ejection fraction; intervention such as ventricular assist device, intravenous vasopressor support, or heart transplant indicated",Death,A disorder characterized by failure of the left ventricle to produce adequate output.,Also consider Investigations: Ejection fraction decreased.,Addition: Navigational note; Clarification: Definition
10061532,Cardiac disorders,Mitral valve disease,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in mitral valve function or structure.,,
10027786,Cardiac disorders,Mobitz (type) II atrioventricular block,"Asymptomatic, intervention not indicated",Symptomatic; medical intervention indicated,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with relatively constant PR interval prior to the block of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.,,Clarification: Grade 3
10027787,Cardiac disorders,Mobitz type I,"Asymptomatic, intervention not indicated",Symptomatic; medical intervention indicated,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with a progressively lengthening PR interval prior to the blocking of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.,,
10028596,Cardiac disorders,Myocardial infarction, -,Asymptomatic and cardiac enzymes minimally abnormal and no evidence of ischemic ECG changes,Severe symptoms; cardiac enzymes abnormal; hemodynamically stable; ECG changes consistent with infarction,Life-threatening consequences; hemodynamically unstable,Death,A disorder characterized by gross necrosis of the myocardium; this is due to an interruption of blood supply to the area.,,
10028606,Cardiac disorders,Myocarditis, -,Symptoms with moderate activity or exertion,Severe with symptoms at rest or with minimal activity or exertion; intervention indicated; new onset of symptoms,"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)",Death,A disorder characterized by inflammation of the muscle tissue of the heart.,,"Clarification: Grade 2, 3; Deletion: Grade 1"
10033557,Cardiac disorders,Palpitations,Mild symptoms; intervention not indicated,Intervention indicated, -, -, -,A disorder characterized by an unpleasant sensation of irregular and/or forceful beating of the heart.,,
10034040,Cardiac disorders,Paroxysmal atrial tachycardia,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated; ablation",Life-threatening consequences; incompletely controlled medically; cardioversion indicated,Death,A disorder characterized by a dysrhythmia with abrupt onset and sudden termination of atrial contractions with a rate of 150-250 beats per minute. The rhythm disturbance originates in the atria.,,"Clarification: Grade 2, 3"
10034474,Cardiac disorders,Pericardial effusion, -,Asymptomatic effusion size small to moderate,Effusion with physiologic consequences,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by fluid collection within the pericardial sac, usually due to inflammation.",,
10053565,Cardiac disorders,Pericardial tamponade, -, -, -,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an increase in intrapericardial pressure due to the collection of blood or fluid in the pericardium.,,
10034484,Cardiac disorders,Pericarditis,"Asymptomatic, ECG or physical findings (e.g., rub) consistent with pericarditis","Symptomatic pericarditis (e.g., chest pain)","Pericarditis with physiologic consequences (e.g., pericardial constriction)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by irritation to the layers of the pericardium (the protective sac around the heart).,,
10061541,Cardiac disorders,Pulmonary valve disease,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in pulmonary valve function or structure.,,
10038748,Cardiac disorders,Restrictive cardiomyopathy,Imaging findings only,Symptomatic without signs of heart failure,"Symptomatic heart failure or other cardiac symptoms, responsive to intervention; new onset of symptoms",Refractory heart failure or other poorly controlled cardiac symptoms,Death,A disorder characterized by an inability of the ventricles to fill with blood because the myocardium (heart muscle) stiffens and loses its flexibility.,,"Addition: Grade 1, 2; Clarification: Grade 3"
10058597,Cardiac disorders,Right ventricular dysfunction,"Asymptomatic with laboratory (e.g., BNP [B-Natriuretic Peptide ]) or cardiac imaging abnormalities",Symptoms with moderate activity or exertion,"Severe symptoms, associated with hypoxia, right heart failure; oxygen indicated","Life-threatening consequences; urgent intervention indicated (e.g., ventricular assist device); heart transplant indicated",Death,A disorder characterized by impairment of right ventricular function associated with low ejection fraction and a decrease in motility of the right ventricular wall.,,"Clarification: Grade 2, 3"
10040639,Cardiac disorders,Sick sinus syndrome,"Asymptomatic, intervention not indicated","Symptomatic, intervention not indicated; change in medication initiated","Symptomatic, intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a dysrhythmia with alternating periods of bradycardia and atrial tachycardia accompanied by syncope, fatigue and dizziness.",,"Clarification: Grade 2, 3"
10040741,Cardiac disorders,Sinus bradycardia,"Asymptomatic, intervention not indicated","Symptomatic, intervention not indicated; change in medication initiated","Symptomatic, intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with a heart rate less than 60 beats per minute that originates in the sinus node.,,"Clarification: Grade 2, 3"
10040752,Cardiac disorders,Sinus tachycardia,"Asymptomatic, intervention not indicated",Symptomatic; non-urgent medical intervention indicated,Urgent medical intervention indicated, -, -,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates in the sinus node.,,
10042604,Cardiac disorders,Supraventricular tachycardia,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences,Death,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates above the ventricles.,,"Clarification: Grade 3, 4"
10061389,Cardiac disorders,Tricuspid valve disease,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in tricuspid valve function or structure.,,
10047281,Cardiac disorders,Ventricular arrhythmia,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,Urgent intervention indicated,Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia that originates in the ventricles.,,"Clarification: Grade 3, 4"
10047290,Cardiac disorders,Ventricular fibrillation, -, -, -,Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia without discernible QRS complexes due to rapid repetitive excitation of myocardial fibers without coordinated contraction of the ventricles.,,Clarification: Grade 4
10047302,Cardiac disorders,Ventricular tachycardia, -,Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates distal to the bundle of His.,,"Clarification: Grade 3, 4"
10010331,"Congenital, familial and genetic disorders","Congenital, familial and genetic disorders - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10013993,Ear and labyrinth disorders,"Ear and labyrinth disorders - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10014020,Ear and labyrinth disorders,Ear pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the ear.,,
10065785,Ear and labyrinth disorders,External ear pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the external ear region.,,
10019245,Ear and labyrinth disorders,Hearing impaired,"Adults enrolled on a Monitoring Program (on a 1, 2, 4, 3, 6, and 8 kHz audiogram): Threshold shift of 15 - 25 dB averaged at 2 contiguous test frequencies in at least one ear;
 
Adults not enrolled on a Monitoring Program: Subjective change in hearing in the absence of documented hearing loss;

Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift >20 dB hearing loss (HL) (i.e., 25 dB HL or greater); sensorineural hearing loss (SNHL) above 4 kHz (i.e., 6 or 8 kHz) in at least one ear","Adults enrolled on a Monitoring Program (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift of >25 dB averaged at 2 contiguous test frequencies in at least one ear;

Adults not enrolled on a Monitoring Program: Hearing loss with hearing aid or intervention not indicated; limiting instrumental ADL;

Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift >20 dB at 4 kHz in at least one ear","Adults enrolled on a Monitoring Program (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift of >25 dB averaged at 3 contiguous test frequencies in at least one ear; therapeutic intervention indicated;

Adults not enrolled on a Monitoring Program: Hearing loss with hearing aid or intervention indicated; limiting self care ADL; 

Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Hearing loss sufficient to indicate therapeutic intervention, including hearing aids; threshold shift >20 dB at 2 to < 4 kHz in at least one ear","Adults: Decrease in hearing to profound bilateral loss (absolute threshold >80 dB HL at 2 kHz and above); nonservicable hearing

Pediatric: Audiologic indication for cochlear implant; > 40 dB HL (i.e., 45 dB HL or more); SNHL at 2 kHz and above", -,A disorder characterized by partial or complete loss of the ability to detect or understand sounds resulting from damage to ear structures.,,"Clarification: Grade 1, 2, 3, 4"
10065838,Ear and labyrinth disorders,Middle ear inflammation,Serous otitis,"Serous otitis, medical intervention indicated",Mastoiditis; necrosis of canal soft tissue or bone,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by inflammation (physiologic response to irritation), swelling and redness to the middle ear.",,
10043882,Ear and labyrinth disorders,Tinnitus,Mild symptoms; intervention not indicated,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL, -, -,"A disorder characterized by noise in the ears, such as ringing, buzzing, roaring or clicking.",,
10047340,Ear and labyrinth disorders,Vertigo,Mild symptoms,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL, -, -,A disorder characterized by a sensation as if the external world were revolving around the patient (objective vertigo) or as if he himself were revolving in space (subjective vertigo).,,
10047386,Ear and labyrinth disorders,Vestibular disorder, -,Symptomatic; limiting instrumental ADL,Severe symptoms; limiting self care ADL, -, -,"A disorder characterized by dizziness, imbalance, nausea, and vision problems.",,
10001367,Endocrine disorders,Adrenal insufficiency,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by the adrenal cortex not producing enough of the hormone cortisol and in some cases, the hormone aldosterone. It may be due to a disorder of the adrenal cortex as in Addison's disease or primary adrenal insufficiency.",,Clarification: Definition
10011655,Endocrine disorders,Cushingoid,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,"Severe symptoms, medical intervention or hospitalization indicated", -, -,"A disorder characterized by signs and symptoms that resemble Cushing's disease or syndrome: buffalo hump obesity, striations, adiposity, hypertension, diabetes, and osteoporosis, usually due to exogenous corticosteroids.",,
10012205,Endocrine disorders,Delayed puberty, -,No breast development by age 13 yrs for females; testes volume of <3 cc or no Tanner Stage 2 development by age 14.5 yrs for males,No breast development by age 14 yrs for females; no increase in testes volume or no Tanner Stage 2 by age 16 yrs for males; hormone replacement indicated, -, -,A disorder characterized by unusually late sexual maturity.,,
10014698,Endocrine disorders,"Endocrine disorders - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10018746,Endocrine disorders,Growth accelerated, -,>= +2 SD (standard deviation) above mid parental height or target height, -, -, -,A disorder characterized by greater growth than expected for age.,,
10020705,Endocrine disorders,Hyperparathyroidism,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated, -, -, -,A disorder characterized by an increase in production of parathyroid hormone by the parathyroid glands. This results in hypercalcemia (abnormally high levels of calcium in the blood).,,
10020850,Endocrine disorders,Hyperthyroidism,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; thyroid suppression therapy indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by excessive levels of thyroid hormone in the body. Common causes include an overactive thyroid gland or thyroid hormone overdose.,,
10021041,Endocrine disorders,Hypoparathyroidism,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe symptoms; medical intervention or hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of parathyroid hormone by the parathyroid glands.,,
10062767,Endocrine disorders,Hypophysitis,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation and cellular infiltration of the pituitary gland.,,Addition: Term
10021067,Endocrine disorders,Hypopituitarism,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of hormones from the pituitary gland.,,Addition: Term
10021114,Endocrine disorders,Hypothyroidism,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; thyroid replacement indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of thyroid hormone by the thyroid gland.,,
10058084,Endocrine disorders,Precocious puberty,Physical signs of puberty with no biochemical markers for females <8 years and males <9 years,Physical signs and biochemical markers of puberty for females <8 years and males <9 years, -, -, -,A disorder characterized by unusually early development of secondary sexual features; the onset of sexual maturation begins usually before age 8 for girls and before age 9 for boys.,,
10067734,Endocrine disorders,Testosterone deficiency,Asymptomatic; mild symptoms with no intervention indicated,Replacement therapy initiated, -, -, -,A disorder characterized by low testosterone.,,Addition: Term
10047488,Endocrine disorders,Virilization,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated, -, -, -,A disorder characterized by inappropriate masculinization occurring in a female or prepubertal male.,,
10005886,Eye disorders,Blurred vision,Intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); limiting instrumental ADL,"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL",Best corrected visual acuity of 20/200 or worse in the affected eye, -,A disorder characterized by visual perception of unclear or fuzzy images.,,"Addition: Grade 4; Clarification: Grade 2, 3"
10007739,Eye disorders,Cataract,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); glare symptoms affecting instrumental ADL,"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL",Best corrected visual acuity of 20/200 or worse in the affected eye, -,A disorder characterized by partial or complete opacity of the crystalline lens of one or both eyes. This results in a decrease in visual acuity and eventual blindness if untreated.,,"Clarification: Grade 2, 3, 4"
10048492,Eye disorders,Corneal ulcer, -, -,Corneal ulcer without perforation in the affected eye,Perforation in the affected eye, -,A disorder characterized by an area of epithelial tissue loss on the surface of the cornea. It is associated with inflammatory cells in the cornea and anterior chamber.,,"Clarification: Grade 3, 4; Deletion: Grade 2"
10013774,Eye disorders,Dry eye,Asymptomatic; clinical or diagnostic observations only; symptoms relieved by lubricants,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self care ADL", -, -,A disorder characterized by dryness of the cornea and conjunctiva.,"If corneal ulcer is present, grade under Eye disorders: Corneal ulcer.","Addition: Navigational note; Clarification: Grade 1, 2, 3"
10015829,Eye disorders,Extraocular muscle paresis,Asymptomatic; clinical or diagnostic observations only,Unilateral paresis without double vision,"Bilateral paresis or unilateral paresis causing double vision in peripheral gaze, but not in central gaze",Bilateral paresis requiring head turning to see beyond central 60 degrees or double vision in central gaze, -,A disorder characterized by incomplete paralysis of an extraocular muscle.,,"Addition: Grade 4; Clarification: Grade 2, 3"
10015919,Eye disorders,"Eye disorders - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated; no change in vision,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL; best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline","Severe or medically significant but not immediately sight-threatening; limiting self care ADL; decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200)",Sight-threatening consequences; urgent intervention indicated; best corrected visual acuity of 20/200 or worse in the affected eye, -, -,,"Clarification: Grade 1, 2, 3, 4"
10015958,Eye disorders,Eye pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the eye.,,
10061145,Eye disorders,Eyelid function disorder,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; nonoperative intervention indicated; limiting instrumental ADL,Limiting self care ADL; operative intervention indicated, -, -,A disorder characterized by impaired eyelid function.,,
10016757,Eye disorders,Flashing lights,Symptomatic but not limiting ADL,Limiting instrumental ADL,Limiting self care ADL, -, -,A disorder characterized by a sudden or brief burst of light.,Also consider Eye disorders: Retinal tear or Retinal detachment,Addition: Navigational note
10016778,Eye disorders,Floaters,Symptomatic but not limiting ADL,Limiting instrumental ADL,Limiting self care ADL, -, -,A disorder characterized by an individual seeing spots before their eyes. The spots are shadows of opaque cell fragments in the vitreous humor or lens.,Also consider Eye disorders: Retinal tear or Retinal detachment,Addition: Navigational note
